stopID,entry/update time,stopTime,stopDuration,stopInResponseToCFS,street,intersection,PID,perceivedRace,perceivedDisability,perceivedLimitedEnglish,perceivedAge,perceivedGender,perceivedLgbt,genderNonconforming,contrabandOrEvidenceDiscovered,actionTakens,personSearchGiven,propertySearchGiven,basisForSearch,basisForSearchExplanation,reasonForStop,reasonForStopDetail,reasonForStopExplanation,reaultOfStop
1338,3/24/2021 19:38,3/24/2021 19:27,5,FALSE,El Camino real,Showers drive,1, Hispanic/Latino/a, None,FALSE,35,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Brake light out, Warning (verbal or written)
1339,3/25/2021 7:19,3/25/2021 7:17,4,FALSE,foothill expy,magdalena ave,1, Hispanic/Latino/a, None,FALSE,40,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, brake light out, Warning (verbal or written)
1340,3/25/2021 8:02,3/25/2021 6:13,5,FALSE,san antonio,portola,1, Hispanic/Latino/a, None,TRUE,35,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", exp reg, Warning (verbal or written)
1341,3/25/2021 8:17,3/25/2021 8:14,5,FALSE,el camino real,showers dr,1, Hispanic/Latino/a, None,FALSE,20,Female,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", exp reg 7/20, Warning (verbal or written)
1342,3/25/2021 8:35,3/25/2021 8:25,9,FALSE,Fremont ,Altos Oaks,1, Asian, None,FALSE,35,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 45mph in 25mph zone, Citation for infraction
1343,3/25/2021 8:43,3/25/2021 8:35,8,FALSE,Magdalena Ct,Magdalena Ave,1, Middle Eastern or South Asian, None,FALSE,50,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 61mph in a 35, Citation for infraction
1344,3/25/2021 9:17,3/25/2021 9:05,8,FALSE,Springer Rd,,1, Middle Eastern or South Asian, None,FALSE,30,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 54mph in 35, Citation for infraction
1345,3/25/2021 9:18,3/25/2021 8:50,13,FALSE,Foothill Expressway ,Springer ,1, Asian, None,FALSE,35,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 73mph in 45mph zone, Citation for infraction
1346,3/25/2021 9:20,3/25/2021 9:02,9,FALSE,Foothill Expressway ,San Antonio ,1, White, None,FALSE,50,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 67mph in a 45mph zone, Citation for infraction
1347,3/25/2021 9:41,3/25/2021 9:35,8,FALSE,Loyola Dr,Frontero Ave ,1, White, None,FALSE,60,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 59mph in 35, Citation for infraction
1348,3/25/2021 9:56,3/25/2021 9:53,35,FALSE,el camino real,ortega ave,1, Middle Eastern or South Asian, None,FALSE,45,Male,No,FALSE, None, Asked for consent to search person; Curbside detention; Handcuffed or flex cuffed; Search of person was conducted, true,, Consent given; Officer Safety/safety of others, subject consented to pat search for officer saftey; subject consented to pat search for officer saftey, Investigation to determine whether the person was truant, ," walking in roadway, vandalizing street signs", Custodial Arrest pursuant to outstanding warrant
1349,3/25/2021 10:08,3/25/2021 10:05,4,FALSE,san antonio rd,portola ave,1, White, None,FALSE,45,Female,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", no plates, Warning (verbal or written)
1350,3/25/2021 10:25,3/25/2021 10:20,6,FALSE,Foothill Expwy,Edith Ave,1, Pacific Islander, None,FALSE,40,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Expired Registration, Warning (verbal or written)
1351,3/25/2021 11:04,3/25/2021 10:55,8,FALSE,Santa Rita ave,,1, Asian, None,FALSE,40,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 42mph in 25, Citation for infraction
1352,3/25/2021 11:23,3/25/2021 11:12,9,FALSE,Almond ,Alicia ,1, Middle Eastern or South Asian, None,FALSE,55,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 45mph in 25mph zone, Citation for infraction
1353,3/25/2021 12:58,3/25/2021 12:51,10,FALSE,portola ave,san antonio rd,1, Hispanic/Latino/a, None,FALSE,25,Male,No,FALSE, None, Curbside detention,,,, , Investigation to determine whether the person was truant, , report of person going into front yards, Warning (verbal or written)
1354,3/25/2021 13:00,3/25/2021 12:58,10,FALSE,portola ave,san antonio rd,1, Black/African American, None,FALSE,55,Male,No,FALSE, None, Curbside detention,,,, , Investigation to determine whether the person was truant, , report of subject going into front yards, Warning (verbal or written)
1355,3/25/2021 13:27,3/25/2021 13:10,15,FALSE,Almond ,Alicia ,1, Hispanic/Latino/a, None,FALSE,25,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 43mph in 25mph zone, Citation for infraction
1356,3/25/2021 13:59,3/25/2021 13:40,15,FALSE,Almond ,Alicia ,1, Hispanic/Latino/a, Speech impairment or limited use of language,TRUE,30,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 46mph in 25mph zone, Citation for infraction; Citation for infraction
1357,3/25/2021 15:27,3/25/2021 15:20,8,FALSE,Almond Ave ,Solana Ave,1, Asian, None,FALSE,40,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 45mph in a 25, Citation for infraction
1358,3/25/2021 15:44,3/25/2021 15:30,14,FALSE,Almond ,Alicia ,1, Hispanic/Latino/a, None,FALSE,20,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 50mph in 25mph zone, Citation for infraction
1359,3/26/2021 4:38,3/26/2021 0:58,22,FALSE,Foothill expressway,Arboretum drive,1, Black/African American, None,FALSE,45,Male,Yes,FALSE, None, Asked for consent to search property; Curbside detention; Person removed from vehicle by order; Search of person was conducted; Search of property was conducted,, true, Condition of parole / probation/ PRCS / mandatory supervision, , Traffic Violation, Moving Violation, Red light violation, Warning (verbal or written)
1360,3/26/2021 13:57,3/26/2021 13:56,10,FALSE,Foothill Expressway ,El Monte ,1, Middle Eastern or South Asian; White, None,FALSE,60,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Cellphone use, Citation for infraction
1361,3/26/2021 15:40,3/26/2021 7:04,3,FALSE,Cuesta,Shelby,1, Asian, None,FALSE,40,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Left turn without yielding to opposite traffic, Warning (verbal or written)
1362,3/26/2021 19:59,3/26/2021 19:57,5,FALSE,foothill,vineyard,1, Asian, None,FALSE,50,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 61/45, Warning (verbal or written)
1363,3/26/2021 20:06,3/26/2021 20:04,5,FALSE,sweet oak,homestead,1, Middle Eastern or South Asian, None,TRUE,45,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, brake light out, Warning (verbal or written)
1364,3/26/2021 21:39,3/26/2021 21:35,8,FALSE,El Camino real,Arastradero,1, Asian, None,FALSE,25,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Taillights off, Warning (verbal or written)
1365,3/27/2021 0:47,3/27/2021 0:44,5,FALSE,Golden,Berry,1, White, None,FALSE,18,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Failed to stop at stop sign, Warning (verbal or written)
1366,3/27/2021 1:07,3/27/2021 1:04,8,FALSE,fooothill,grant,1, White, Deafness or difficulty hearing,FALSE,60,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, unsafe turn, Warning (verbal or written)
1367,3/27/2021 5:02,3/27/2021 5:00,8,FALSE,Magdalena ,Foothill ,1, White, None,FALSE,35,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, No headlamps on, Warning (verbal or written)
1368,3/28/2021 0:25,3/28/2021 0:23,10,FALSE,Springer,Berry,1, White, None,FALSE,30,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Broken head lamp, Citation for infraction; Citation for infraction
1369,3/28/2021 12:41,3/28/2021 12:39,3,FALSE,Foothill,Loyola,1, Asian, None,FALSE,50,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Cell phone in hand while driving, Warning (verbal or written)
1370,3/28/2021 19:20,3/28/2021 18:22,5,FALSE,FOOTHILL EXPRESSWAY,MAGDALENA AVE,1, Asian, None,FALSE,50,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 60 MPH IN A 45 MPH ZONE...DRIVER WARNED AND RELEASED, Warning (verbal or written)
1371,3/28/2021 19:28,3/28/2021 19:27,5,FALSE,FOOTHILL EXPRESSWAY,MAGDALENA AVE,1, Middle Eastern or South Asian, None,FALSE,25,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 62 MPH IN A 45 MPH ZONE...DRIVER WARNED AND RELEASED, Warning (verbal or written)
1372,3/28/2021 19:49,3/28/2021 19:48,10,FALSE,MAGDALENA AVE,,1, Middle Eastern or South Asian, None,FALSE,30,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 72 MPH IN A 45 MPH ZONE...DRIVER CITED AND RELEASED, Citation for infraction
1373,3/28/2021 20:03,3/28/2021 19:32,10,FALSE,Loucks,San antonio,1, White, None,FALSE,60,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", Entered roadway facing red signal, Warning (verbal or written)
1374,3/28/2021 20:12,3/28/2021 20:10,5,FALSE,El Monte,Summerhill,1, White, None,FALSE,55,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Maintain lights in working order, Warning (verbal or written)
1375,3/28/2021 20:18,3/28/2021 20:17,5,FALSE,FOOTHILL EXPRESSWAY,MAIN ST,1, Asian, None,FALSE,18,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, DRIVER WARNED AND RELEASED, Warning (verbal or written)
1376,3/28/2021 20:44,3/28/2021 20:42,5,FALSE,FOOTHILL EXPRESSWAY,ST JOSEPH AVE,1, Asian, None,FALSE,25,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, WARNED DRIVER AND RELEASED, Warning (verbal or written)
1377,3/28/2021 21:29,3/28/2021 20:19,15,FALSE,Shoreline ,California st,1, Asian, None,FALSE,30,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Expired Registration, Citation for infraction
1378,3/28/2021 21:52,3/28/2021 21:40,8,FALSE,Foothill,San Antonio ,1, White, None,FALSE,70,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, No front license plate, Warning (verbal or written)
1379,3/28/2021 22:19,3/28/2021 22:18,5,FALSE,FOOTHILL EXPRESSWAY,LOYOLA FIRE,1, Asian, None,FALSE,25,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 60 MPH IN A 45 MPH ZONE...DRIVER WARNED AND RELEASED, Warning (verbal or written)
1380,3/29/2021 0:27,3/29/2021 0:23,25,FALSE,Miramonte,Castro,1, Hispanic/Latino/a, None,FALSE,20,Male,No,FALSE, Drugs/narcotics, Asked for consent to search property; Person removed from vehicle by order; Search of person was conducted,,, Officer Safety/safety of others, Pat search for officer safety, Traffic Violation, Equipment Violation," Tinted windows, no front plate", No Action
1381,3/29/2021 0:30,3/29/2021 0:29,5,FALSE,LOYOLA DR,FRONTERO,1, Asian, None,FALSE,50,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, TURNED LEFT FROM STRAIGHT ONLY LANE...DRIVER WARNED AND RELEASED, Warning (verbal or written)
1382,3/29/2021 0:46,3/29/2021 0:45,5,FALSE,FOOTHILL EXPRESSWAY,SPRINGER RD,1, White, None,FALSE,50,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", DRIVER WARNED AND RELEASED, Warning (verbal or written)
1383,3/29/2021 3:02,3/28/2021 20:12,28,FALSE,Foothill,Aratstradero,1, Middle Eastern or South Asian, None,FALSE,30,Male,No,FALSE, None, Curbside detention; Search of person was conducted,,, Condition of parole / probation/ PRCS / mandatory supervision, , Traffic Violation, Moving Violation, Red light violation, Warning (verbal or written)
1384,3/29/2021 3:07,3/28/2021 23:50,25,FALSE,Miramonte,Castro,1, Black/African American, None,FALSE,20,Male,No,FALSE, None, Person removed from vehicle by order; Search of person was conducted,,, Officer Safety/safety of others, Pat search for officer safety, Traffic Violation, Equipment Violation, Passenger, Warning (verbal or written)
1385,3/29/2021 3:57,3/29/2021 3:55,5,FALSE,Bryant ave,Grant rd,1, Hispanic/Latino/a, None,FALSE,55,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Tinted windows, Warning (verbal or written)
1386,3/29/2021 9:20,3/29/2021 9:04,12,FALSE,Almond ,N.Gordon,1, Middle Eastern or South Asian, None,FALSE,45,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 43mph in 25mph zone, Citation for infraction
1387,3/29/2021 11:08,3/29/2021 11:05,10,FALSE,miramonte,portland,1, Hispanic/Latino/a, None,FALSE,20,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, brake light out, Citation for infraction
1388,3/29/2021 11:24,3/29/2021 11:15,8,FALSE,Oak st,Edith Ave,1, White, None,FALSE,35,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, No right turn on red violation, Citation for infraction
1389,3/29/2021 11:53,3/29/2021 11:51,5,FALSE,san antonio rd,almond ave,1, Black/African American, None,FALSE,50,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, brake light out, Warning (verbal or written)
1390,3/29/2021 13:12,3/29/2021 12:59,11,FALSE,N. Gordon ,Almond,1, White, Speech impairment or limited use of language,TRUE,60,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 52mph in 25mph zone, Citation for infraction
1391,3/29/2021 13:43,3/29/2021 13:26,13,FALSE,Almond ,N. Gordon ,1, White, None,FALSE,20,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 55mph in 25mph zone, Citation for infraction
1392,3/29/2021 14:48,3/29/2021 14:35,8,FALSE,University Ave ,Main St,1, White, None,FALSE,30,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 63mph in a 45, Citation for infraction
1393,3/29/2021 14:59,3/29/2021 14:55,4,FALSE,Truman ,Oak,1, Middle Eastern or South Asian, None,FALSE,25,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 40mph in 25mph zone, Warning (verbal or written)
1394,3/29/2021 15:16,3/29/2021 15:05,11,FALSE,Truman ,Pinehurst,1, White, None,FALSE,25,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 44mph in 25mph zone, Citation for infraction
1395,3/29/2021 15:25,3/29/2021 15:05,8,FALSE,Foothill Expwy ,Main st,1, White, None,FALSE,40,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 63mph in a 45, Citation for infraction
1396,3/30/2021 1:27,3/29/2021 21:03,35,TRUE,St. Marks court,Woodview terrace,1, White, None,FALSE,50,Female,No,FALSE, None, Handcuffed or flex cuffed; Search of person was conducted,,, Officer Safety/safety of others, Call for service, Reasonable Suspicion, Witness or Victim identification of Suspect at the scene, Call for service, Custodial Arrest without warrant
1397,3/30/2021 10:17,3/30/2021 10:05,6,FALSE,El Camino Real ,Arastradero ,1, Pacific Islander, None,FALSE,45,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Drove in front of pedestrian in a marked crosswalk, Warning (verbal or written)
1398,3/30/2021 10:40,3/30/2021 10:30,8,FALSE,El Camino real,San Antonio Rd,1, Middle Eastern or South Asian, None,FALSE,30,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 50mph in a 35, Citation for infraction
1399,3/30/2021 12:17,3/30/2021 12:15,5,FALSE,El Camino Real,Grant road ,1, Hispanic/Latino/a, None,FALSE,45,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", Expired reg, Warning (verbal or written)
1400,3/30/2021 12:20,3/30/2021 10:20,10,FALSE,El Camino real,Los Altos ave,1, White, None,FALSE,35,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 50mph in 35mph zone, Warning (verbal or written)
1401,3/30/2021 17:24,3/30/2021 14:25,25,FALSE,San Antonio road ,,1, White, None,FALSE,45,Male,No,FALSE, None, Handcuffed or flex cuffed; Patrol car detention; Physical or Vehicle contact,,,, , Reasonable Suspicion, Other Reasonable Suspicion of a crime, Threats being made at store by subject, Warning (verbal or written)
1402,3/31/2021 8:50,3/31/2021 8:35,8,FALSE,Arboleda,Ciceroni,1, Hispanic/Latino/a, None,FALSE,35,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 63mph in a 45, Citation for infraction
1403,3/31/2021 9:59,3/31/2021 9:48,9,FALSE,Almond ,Sunkist ,1, Pacific Islander, None,FALSE,40,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 42mph in 25mph zone, Citation for infraction
1404,3/31/2021 10:13,3/31/2021 10:00,9,FALSE,Sylvian ,N. San Antonio ,1, Asian, None,FALSE,35,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 43mph in 25mph zone, Citation for infraction
1405,3/31/2021 13:32,3/31/2021 13:25,5,FALSE,Almond ,Sunkist ,1, Hispanic/Latino/a, None,FALSE,20,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 41mph in 25mph zone, Warning (verbal or written)
1406,3/31/2021 14:07,3/31/2021 13:55,8,FALSE,Foothill Expwy ,Springer rd,1, Middle Eastern or South Asian, None,FALSE,35,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 63mph in 45, Citation for infraction
1407,3/31/2021 14:28,3/31/2021 14:15,8,FALSE,Foothill Expwy ,Springer Rd,1, White, None,FALSE,45,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 61mph in a 45, Citation for infraction
1408,3/31/2021 14:45,3/31/2021 14:20,9,FALSE,Almond ,Sunkist ,1, White, None,FALSE,18,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 48mph in 25mph zone, Citation for infraction
1409,3/31/2021 14:52,3/31/2021 14:40,8,FALSE,Fremont Ave,Springer Rd,1, Hispanic/Latino/a, None,FALSE,60,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 65mph in a 45, Citation for infraction
1410,3/31/2021 19:30,3/31/2021 19:03,5,FALSE,FOOTHILL EXPRESSWAY,SRPINGER RD,1, Black/African American, None,FALSE,30,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 61 MPH IN A 45 MPH ZONE...DRIVER WARNED AND RELEASED, Warning (verbal or written)
1411,3/31/2021 19:40,3/31/2021 19:30,5,FALSE,Cuesta,San antonio,1, Asian, None,FALSE,45,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Broken tail light, Warning (verbal or written)
1412,4/1/2021 3:30,4/1/2021 3:05,5,FALSE,Shoup park,University ,1, White, None,FALSE,65,Male,No,FALSE, None, None,,,, , Reasonable Suspicion, Other Reasonable Suspicion of a crime, Violation of park hours, Warning (verbal or written)
1413,4/1/2021 4:05,4/1/2021 4:01,8,FALSE,first,main,1, Hispanic/Latino/a, None,FALSE,30,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, window tint, Warning (verbal or written)
1414,4/1/2021 5:05,4/1/2021 4:50,5,FALSE,Los Altos Avenue ,Portola,1, Middle Eastern or South Asian, None,FALSE,50,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Did not stop at stop sign, Warning (verbal or written)
1415,4/1/2021 5:13,4/1/2021 5:10,3,FALSE,covington,el montelo,1, Asian, None,TRUE,60,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, ran sstop sign, Warning (verbal or written)
1416,4/1/2021 5:54,4/1/2021 3:02,7,FALSE,MAAGDALENA AVE ,FOOTHILL EXPRESSWAY,1, White, None,FALSE,30,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, DRIVER CROSSED THREE LANES OF TRAFFIC AND RAN RED  ARROW...DRIVER WARNED AND RELEASED, Warning (verbal or written)
1417,4/1/2021 9:36,4/1/2021 8:35,10,FALSE,Los Altos Ave,,1, Middle Eastern or South Asian, None,FALSE,45,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Observed driver in a school zone at a visual speed estimate of 40 mph. Lidar reading confirmed 37 mph at 470’ in front of Santa Rita school. Stopped and identified driver via license. Driver admitted to speed violation. Driver cited and released, Citation for infraction
1418,4/1/2021 12:57,4/1/2021 12:30,12,FALSE,Foothill Expwy ,Edith Ave,1, Hispanic/Latino/a, None,TRUE,30,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 66mph in a 45, Citation for infraction
1419,4/1/2021 14:30,4/1/2021 14:15,8,FALSE,Foothill Expwy ,Springer Rd,1, Hispanic/Latino/a, None,FALSE,50,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 61mph in 45, Citation for infraction
1420,4/1/2021 14:46,4/1/2021 14:35,5,FALSE,Foothill Expwy ,Springer Rd,1, Middle Eastern or South Asian, None,FALSE,50,Female,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", Exp. Reg, Warning (verbal or written)
1421,4/1/2021 19:54,4/1/2021 19:52,5,FALSE,El Monte,Hawthorne,1, White, None,FALSE,40,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Unsafe speed, Warning (verbal or written)
1422,4/1/2021 20:07,4/1/2021 19:54,8,FALSE,Springer,Covingtoon,1, Hispanic/Latino/a, None,FALSE,60,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Stop sign violation, Warning (verbal or written)
1423,4/2/2021 0:41,4/2/2021 0:20,12,FALSE,El Camino real,El Camino way,1, Hispanic/Latino/a, None,FALSE,30,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Tinted windows, Warning (verbal or written)
1424,4/2/2021 0:44,4/2/2021 0:00,7,FALSE,El Camino ,San antonio,1, Middle Eastern or South Asian, None,FALSE,55,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, No license plate light, Warning (verbal or written)
1425,4/2/2021 1:17,4/2/2021 0:15,10,FALSE,El Camino real ,Dinahs ct,1, Hispanic/Latino/a, None,FALSE,40,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Using cell phone while driving, Warning (verbal or written)
1426,4/2/2021 1:25,4/2/2021 0:56,15,FALSE,El Camino reap,Dinahs ct,1, Hispanic/Latino/a, None,FALSE,25,Male,No,FALSE, None, Person removed from vehicle by order; Search of person was conducted,,, Officer Safety/safety of others, Pat search officer safety, Traffic Violation, Equipment Violation, Tinted windows, Citation for infraction
1426,4/2/2021 1:25,4/2/2021 0:56,15,FALSE,El Camino reap,Dinahs ct,2, Hispanic/Latino/a, None,FALSE,25,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Passenger, No Action
1427,4/2/2021 3:53,4/1/2021 20:07,5,FALSE,Grant,Morton,1, White, None,FALSE,65,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Fail to use turn signal X2, Warning (verbal or written)
1428,4/2/2021 14:17,4/2/2021 8:22,12,FALSE,Los Altos Ave,,1, White, None,FALSE,50,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Monitoring traffic in school zone. Observed driver on cell phone SB Los Altos Ave. Stopped. Driver identified verbally. Cited and released, Citation for infraction
1429,4/2/2021 15:26,4/2/2021 14:40,14,FALSE,San Antonio Road,Pine Lane,1, White, None,FALSE,30,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Observed driver north on San Antonio rd. Visual speed estimation 50mph at 700’Lidar confirmed 51 mph at 536’ in lane 2. Stopped driver. Identified by license. Cited and release, Citation for infraction
1430,4/3/2021 4:22,4/2/2021 20:49,8,FALSE,Miramonte,Portland,1, White, None,FALSE,25,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, License plate lamp, Citation for infraction
1431,4/3/2021 4:25,4/2/2021 23:58,8,FALSE,Foothill expressway,Loyola,1, Middle Eastern or South Asian, None,FALSE,25,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Rear marker light out, Warning (verbal or written)
1432,4/4/2021 5:49,4/4/2021 2:30,30,FALSE,Fremont,Riverside,1, White, None,FALSE,35,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Headlight out, Warning (verbal or written)
1432,4/4/2021 5:49,4/4/2021 2:30,30,FALSE,Fremont,Riverside,2, White, None,FALSE,45,Male,No,FALSE, None, Handcuffed or flex cuffed; Person removed from vehicle by order; Search of person was conducted,,, Incident to arrest, Searched when arrested, Traffic Violation, Equipment Violation, Passenger, Custodial Arrest pursuant to outstanding warrant
1433,4/4/2021 16:24,4/4/2021 16:22,5,FALSE,GRANT RD,FOOTHILL EXPRESSWAY,1, Asian, None,FALSE,40,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 65 MPH IN A 45 MPH...DRIVER WARNED AND RELEASED, Warning (verbal or written)
1434,4/5/2021 10:20,4/5/2021 10:20,5,FALSE,Foothill expressway,El Monte ,1, White, None,FALSE,40,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 60 in 45, Warning (verbal or written)
1435,4/5/2021 10:27,4/5/2021 10:17,10,FALSE,Almond ,Sunkist,1, White, None,FALSE,50,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 44mph in 25mph zone, Citation for infraction
1436,4/5/2021 10:32,4/5/2021 10:20,8,FALSE,Main st,3rd st,1, Asian, None,FALSE,35,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Red arrow violation, Citation for infraction
1437,4/5/2021 11:52,4/5/2021 11:51,6,FALSE,El Camino real,Escuela,1, Asian, None,FALSE,63,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", Expired registration, Warning (verbal or written)
1438,4/5/2021 12:04,4/5/2021 10:15,2,FALSE,Hamilton Ct.,,1, White, None,FALSE,20,Male,No,FALSE, None, None,,,, , Reasonable Suspicion, Other Reasonable Suspicion of a crime, Expired registration, No Action
1439,4/5/2021 12:34,4/5/2021 12:20,9,FALSE,Main St,Third St.  ,1, Middle Eastern or South Asian, None,FALSE,25,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Right turn downtown; did not stop at stop sign., Citation for infraction
1440,4/5/2021 12:38,4/5/2021 12:30,8,FALSE,Edith Ave,View st,1, White, None,FALSE,65,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Red light violation, Citation for infraction
1441,4/5/2021 13:14,4/5/2021 13:05,8,FALSE,Edith ave,4th st,1, White, None,FALSE,65,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Red arrow violation, Citation for infraction
1442,4/5/2021 14:39,4/5/2021 11:53,4,FALSE,El Camino real,San Antonio ,1, White, None,FALSE,54,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 45 in a 35, Warning (verbal or written)
1443,4/5/2021 15:28,4/5/2021 14:39,12,FALSE,San Antonio ,Almond,1, Hispanic/Latino/a, None,FALSE,47,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Failed to stop at stop sign, Citation for infraction; Citation for infraction
1444,4/5/2021 21:01,4/5/2021 20:59,5,FALSE,Foothill,Loyola,1, Asian, None,FALSE,17,Female,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", Expired registration, Warning (verbal or written)
1445,4/5/2021 21:18,4/5/2021 19:05,10,FALSE,Cuesta,S clark,1, White, None,FALSE,40,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Failed to stop, Citation for infraction
